AGID,mock 3h (F1),mock 3h (F1),CHX 3h (F1),CHX 3h (F1),MG132 3h (F1),MG132 3h (F1),mock 12h (F2),mock 12h (F2),PNO8 1uM3h (F1),PNO8 1uM3h (F1),PNO8 1uM12h (F2),PNO8 1uM12h (F2),mockBrz 3h (G),mockBrz 3h (G),PNO8 10uM3h (G),PNO8 10uM3h (G),Ibup 3h (F1),Ibup 3h (F1),B9 3h (F1),B9 3h (F1),Sal 3h (F1),Sal 3h (F1),mock 3h (F1),mock 3h (F1),mock 12h (F2),mock 12h (F2),Brz220 10uM3h (F1),Brz220 10uM3h (F1),Brz220 10uM12h (F2),Brz220 10uM12h (F2),Brz91 3h (F1),Brz91 3h (F1),Brz91 12h (F2),Brz91 12h (F2),mockBrz 3h (G),mockBrz 3h (G),Brz220 3uM3h (G),Brz220 3uM3h (G),mock 3h (F1),mock 3h (F1),AgNO3 3h (F1),AgNO3 3h (F1),AVG 3h (F1),AVG 3h (F1),mock 3h (F1),mock 3h (F1),mock 12h (F2),mock 12h (F2),PPI 3h (F1),PPI 3h (F1),PPI 12h (F2),PPI 12h (F2),Unic 3h (F1),Unic 3h (F1),Unic 12h (F2),Unic 12h (F2),Pac 3h (F1),Pac 3h (F1),Pac 12h (F2),Pac 12h (F2),PX 3h (F1),PX 3h (F1),PX 12h (F2),PX 12h (F2),Cont (C1),Cont (C1),Cont (C1),Zeatin20uM (C1),Zeatin20uM (C1),Zeatin20uM (C1),ARR22-ox (C2),ARR22-ox (C2),ARR22-ox (C2),ARR22-ox+Zeatin20uM (C2),ARR22-ox+Zeatin20uM (C2),ARR22-ox+Zeatin20uM (C2),mock 3h (F1),mock 3h (F1),246T 3h (F1),246T 3h (F1),PCIB 3h (F1),PCIB 3h (F1),TIBA 3h (F1),TIBA 3h (F1),NPA 3h (F1),NPA 3h (F1),mock 30m (A1),mock 30m (A1),IAA 30m (A1),IAA 30m (A1),Zeatin 30m (A1),Zeatin 30m (A1),GA 30m (A1),GA 30m (A1),ABA 30m (A1),ABA 30m (A1),MJ 30m (A1),MJ 30m (A1),ACC 30m (A1),ACC 30m (A1),BL 30m (A1),BL 30m (A1),mock 1h (A2),mock 1h (A2),IAA 1h (A2),IAA 1h (A2),Zeatin 1h (A2),Zeatin 1h (A2),GA 1h (A2),GA 1h (A2),ABA 1h (A2),ABA 1h (A2),MJ 1h (A2),MJ 1h (A2),ACC 1h (A2),ACC 1h (A2),BL 1h (A2),BL 1h (A2),mock 3h (A3),mock 3h (A3),IAA 3h (A3),IAA 3h (A3),Zeatin 3h (A3),Zeatin 3h (A3),GA 3h (A3),GA 3h (A3),ABA 3h (A3),ABA 3h (A3),MJ 3h (A3),MJ 3h (A3),ACC 3h (A3),ACC 3h (A3),BL 3h (A3),BL 3h (A3),ga1mock 30m (A4),ga1mock 30m (A4),ga1+GA 30m (A4),ga1+GA 30m (A4),ga1mock 1h (A5),ga1mock 1h (A5),ga1+GA 1h (A5),ga1+GA 1h (A5),ga1mock 3h (A6),ga1mock 3h (A6),ga1+GA 3h (A6),ga1+GA 3h (A6),det2mock 30m (A7),det2mock 30m (A7),det2+BL 30m (A7),det2+BL 30m (A7),det2mock 1h (A8),det2mock 1h (A8),det2+BL 1h (A8),det2+BL 1h (A8),det2mock 3h (A9),det2mock 3h (A9),det2+BL 3h (A9),det2+BL 3h (A9),mock 3h (B),mock 3h (B),CN 3h (B),CN 3h (B),6DCT 3h (B),6DCT 3h (B),CT 3h (B),CT 3h (B),6DTE 3h (B),6DTE 3h (B),TE 3h (B),TE 3h (B),6D3DT 3h (B),6D3DT 3h (B),3DT 3h (B),3DT 3h (B),6DTY 3h (B),6DTY 3h (B),TY 3h (B),TY 3h (B),6DCS 3h (B),6DCS 3h (B),CS 3h (B),CS 3h (B),BL 3h (B),BL 3h (B)
AT4G18770,80.6,209.7,182.6,317,214.5,135.6,128.1,99.9,157.1,31.4,85,185.6,27.2,119.2,354.5,343.3,38.2,61.4,232.3,125.6,167.3,298.2,80.6,209.7,128.1,99.9,132.5,91.1,161.2,33.6,231.2,277.6,144.8,194.4,27.2,119.2,48.8,123.9,80.6,209.7,43.4,58.7,300.2,161.3,80.6,209.7,128.1,99.9,128.1,33.5,89.8,22.7,136.8,7.6,29.7,228.7,167.2,202,80.5,32.1,60.2,311.4,93.1,132.7,37.9,37.2,68.6,48,28.2,45,41.5,38.7,112.1,55.2,52.7,43.2,80.6,209.7,110,111.2,161.3,187.7,262.3,453.3,189.5,221.5,187.8,59.2,182.3,141.6,180.8,84.9,275.9,21.1,198.7,27,64.9,185.6,383.7,161.5,383.3,201.1,207.3,122.2,72.9,96.2,264.4,25,92,150.2,161.9,126,154.5,28.9,406,151.2,268.6,114.4,26.9,198.3,17,211.8,75.6,204.8,85.8,208.7,68,106.6,218.3,12.1,317.9,28.9,191.8,24.6,125.1,67.7,219.4,450.8,494.9,652.2,458.3,508,423.4,363.7,56.6,202,75.8,808,75.4,590.6,150.9,316,52.7,354.4,583.4,407.3,191.7,222,145.5,30.6,150.1,45.1,244.7,56.5,75.4,210.4,42.3,231.6,95.9,291.6,27.7,310.3,30.8,47.9,252.1,41.7,277.8,84,146,265,193.2,349.1,75.3,238.9
AT4G18880,473.6,516.3,18512.6,16442.8,590.9,432.7,444.8,465.1,680.4,1051,337.4,749.9,535.4,513.1,2672.5,2783,714.4,592.6,400.1,528.8,886.2,1130.4,473.6,516.3,444.8,465.1,478.8,523.2,455.7,664.1,730.4,427.7,455.2,712.1,535.4,513.1,662.7,485.3,473.6,516.3,1616.5,1248.8,586.3,515.1,473.6,516.3,444.8,465.1,503.3,333.4,430.7,505.1,615.6,396.9,457.3,459.5,453.6,560,440.4,701.7,649.8,607.7,416.9,589.6,124.6,185,366.8,141.3,141.8,139.6,140.4,212.7,440.5,196.6,199.2,139.9,473.6,516.3,858.4,804.7,748,542.2,1535.9,1660.7,634.1,417.5,393.9,310.6,558.4,358.6,612.4,400.8,414.5,312.6,631.4,465.4,506.2,246.3,458.8,297.4,501.3,311.6,329.2,324.3,436.8,226.6,535.8,341,386.3,324.2,484.6,402.5,166.2,332.3,373,347.4,577.8,391.2,343.6,348.5,375.8,267.7,490.2,376,358.7,439.6,367.6,218.3,168.2,219.5,428.3,195,465.8,269.7,1671.9,1328.5,1379.5,884.3,840.9,1616.6,770.8,1428.1,1040.9,1019.6,1031.9,1003,971.7,846.6,1180,1299.6,908.8,774.5,605.8,520.1,704.5,1009.1,930.7,935.7,748.3,749.9,864.1,976.3,708.2,570.1,851,537,958.9,708.7,657.2,972.9,1362.1,768.6,1034.5,694.8,816.6,795.3,812,632.6,984.6,762.5,916.7,871.8,700.4,994.9
AT4G24470,1497.1,1381.9,2373,1782.8,1844.9,1503.5,1159.2,1335.5,1734.3,1455.3,1308.4,1827.8,1620.8,1392.6,1177.2,841.8,2215.4,1156.2,1699.7,1500.8,2088.7,1384.7,1497.1,1381.9,1159.2,1335.5,1903.6,1379.5,1031.3,1910.8,1886.3,1505.5,1124.3,1699.4,1620.8,1392.6,1391.3,1486,1497.1,1381.9,1834,1649.1,1477.7,1455,1497.1,1381.9,1159.2,1335.5,1846.4,1667.1,1287.5,1563.1,1870.4,1429.4,1356.2,1631,1968.9,1405.7,1269.2,1404.6,1732.9,1222.5,1037.4,1643.3,200.1,298.3,560.6,478.3,502.5,471.2,260.1,297.2,891.4,516.9,480,426.3,1497.1,1381.9,1932.8,1366,1528.1,1278.5,1804.9,1399.5,1856.7,1495.7,1052.9,745.3,1252.3,828.6,1245.7,889.5,1278.1,888.9,1190.6,702.7,1042,787.2,1110.6,828.6,907.3,891,1412.4,949,1091.7,967.9,1375.9,868.9,1118.5,901.5,1185.1,736.6,1029.8,868.4,1276.8,929,1259.8,838.9,1170.9,1021.8,1119.3,741.5,1222.4,770.5,1069.8,835.5,1147.1,839.3,927,805.2,1533.9,966.5,1172.3,943.9,3158.8,2461.7,3196.5,2549.4,2218.3,3781.5,1759.6,2955.3,3304.1,2705.3,2583.2,2599.4,2067.4,1403.6,2254.8,2091.9,1525.5,1714,1380.4,1897.6,2065.2,1914.4,2393.8,1865.7,1721.4,2165.6,1757.8,2047.3,2000.6,2648.5,1668.6,2116.6,1925.4,2098.9,1882.3,1989.2,1995.2,2125,1971.5,2161.6,2011.9,2271.1,2238.3,2670.3,2027.5,2128.5,1818.3,2297.1,1963.5,2348
AT4G30935,885.6,491.4,755.1,614.7,635.4,737.2,497.3,515.1,576.4,509,324.2,517,621.4,898.7,838.7,776.8,774.1,513.5,644.6,587.2,553.8,696.6,885.6,491.4,497.3,515.1,706.1,561.9,524.2,813.2,804.9,571.5,485.6,586.8,621.4,898.7,853.2,659.2,885.6,491.4,663.3,441.1,526.9,471,885.6,491.4,497.3,515.1,699.1,506.8,428.7,496.8,640.9,689.3,372.6,643.8,687.1,520.3,492.9,676.6,532.1,437.2,631.3,611.6,126.7,145.5,328.4,246.3,271.4,234.8,217.2,228.8,448.6,217.7,234.5,173.6,885.6,491.4,630.9,680.4,676.1,770.1,690.9,515.3,760.4,669.7,642.1,464.4,679.3,602.1,696,611,772.6,510.2,783.5,478,547,439.2,513.9,497.4,688.7,435.2,785.2,646.6,816.9,579.4,703.8,513.8,699.3,610.8,439.3,592.9,724.9,629.1,838.6,619,688.5,750.7,658.8,770.1,616.2,673.5,820.2,545.9,385.1,735.3,428.6,520.4,520.7,632.8,918.1,687,684.2,527.4,1959.8,1835.5,1727,1769.8,1612.3,2540.7,1621.2,1947.1,1744.4,1927,1493.8,1786.9,1732,1322.5,1388.7,1431,987.6,1223.4,1405.1,1149,1377,1420.3,1016.3,1310.2,1065,863.2,763.8,1125.1,1009.2,916.2,786.1,722.5,707.5,1238,747.7,820.8,767.9,975.6,683.7,784.1,570.5,1147.3,826.8,1050.3,725.4,852.5,459.8,1279.2,629.7,864
AT4G35040,2055.2,1814.3,1423.4,1344.6,2368.4,1672.4,1385.7,2265.9,2810.6,1843.6,1601.4,2036.4,2144.6,1856,2062.2,2061.3,2409.1,2229,2301.7,1921,2727.2,1979.9,2055.2,1814.3,1385.7,2265.9,1966,1945.6,1599.7,2162.7,2519.6,1789.6,1701.7,2750.9,2144.6,1856,2155.9,1746.6,2055.2,1814.3,2436.8,1689.2,2499.3,2203.7,2055.2,1814.3,1385.7,2265.9,2332.3,1736.1,1632.2,2082.8,2511.3,1919.8,1469.3,2151.6,1943.3,1737.2,1636.2,2056.5,2116.9,1965.6,1526.8,2024.8,289.5,329.5,694.4,350.9,396.8,365,473.9,674.6,1032.7,436.2,411.7,347.8,2055.2,1814.3,1908.3,1824.5,2226.8,2014.4,1879.2,1828.6,1914.7,1858.5,1750.5,1213.6,1644.4,1197.4,1345.2,1207.6,1362.1,1207.1,2308.8,1090.2,1459.4,1077.1,2010.6,1239.6,2263,1368.7,1740.2,1178.8,1444.7,983.2,1531.3,983.1,1868.5,1091.2,1677.3,1363,1617.3,941.9,1913.3,1027.6,1890.6,999.3,1546.2,1242.4,1215.7,899.1,1625.8,1040.4,1795,1581.9,1442,936.4,1494.5,935.3,1952.3,1352.2,1867,1097.4,5284.1,4292.1,4778.3,4486.5,3232.8,5902.7,3426.4,5832.2,4022.4,4407.5,5035.5,4307.5,4401.5,3786.1,4159.4,3920.7,3606.3,3544.2,3370.9,3366.8,4254.6,3758.3,4112.4,3295.9,3747.9,3777.9,4281.5,3086.1,3962.4,3355.6,3584.6,3647.2,3273,3555.4,3617.2,4196.2,3146.2,3418.2,3930.8,3121.6,3599.8,4013.7,3322.9,3527.1,3761.9,2770.4,3427.7,3111.6,3378,3411.4
AT4G36740,159.5,41.7,23.9,32,143.9,14,23.1,24.6,114.7,51.4,21.4,22.3,139,118.9,224.9,168.9,30.1,90.4,78.7,113.8,4.4,88.9,159.5,41.7,23.1,24.6,19.5,17.9,53.8,37.7,15.1,52.6,7.1,33.2,139,118.9,244.4,118.8,159.5,41.7,124.5,32.2,100.6,89.2,159.5,41.7,23.1,24.6,91.9,27,5.9,201,51.4,30,85.8,57.3,25.6,100.4,14.7,89.3,24,143.7,44,32.1,1,3,7.3,1,4.9,1.2,18.3,21,66,1.1,2.5,2.1,159.5,41.7,221.4,88.4,137.9,38.5,51.2,13.3,88.6,8.4,21.7,67,107.3,36.3,113.2,14.6,24.4,63.1,172.6,158.7,30.3,35.1,41.6,43.5,185.1,63.1,94.9,54.5,94.2,117.2,137.6,62.2,13.5,59.2,274.2,183.3,66.8,104.7,110.4,37.3,120.9,82.6,20,155.8,57.2,35,14.2,68.9,54.2,14.1,315.8,278.2,63.7,21.2,24.3,22.7,88.6,117.6,34.4,81.8,153.1,199.4,214.4,342.2,43.5,398.3,55.9,245.9,244,190.8,194.5,266.2,190.6,415.4,194,234.8,74.6,29.1,270.3,366,85.6,69.4,149.6,86.8,188.6,213.8,234.1,107.7,49.8,8.7,29.6,30.6,65.2,49.5,126.4,136.6,52.7,114.6,18.5,87.3,60,25.3,120.4,13,185.9,214.4,87.6,233.3
AT4G36930,606.1,659.9,867.2,1257.4,739.3,607,582.5,776,607.2,625.4,394.1,631.1,724.3,546.9,932.3,923,733.8,645.7,835.1,640.9,673.9,658.8,606.1,659.9,582.5,776,806.4,638.5,400.2,654.2,925.6,585.4,593.6,715.1,724.3,546.9,614.2,615.7,606.1,659.9,818,567.3,834.6,614,606.1,659.9,582.5,776,881.6,590.3,428.5,856.2,706.3,437.3,555.8,566.1,597,585.1,464.3,808.4,583.3,673.3,465.1,939.7,61.6,69.3,131.8,89.4,78,68.7,44.5,74.1,172.5,80,65.1,63.1,606.1,659.9,895.9,734.8,815.3,561,840.1,980.4,848.6,730,578.5,396.2,576,438.3,704.3,479.1,642.1,471.6,630.2,500.3,714,417.8,871.2,420.6,882.4,553.9,557.3,377.2,799.7,397.8,833,605.7,640.7,446.9,575.9,369.2,464.1,357.7,787.4,475,874.5,471.3,617,337.2,613.4,560.9,593.5,545.6,433.7,455.8,536.1,276.4,416,218.8,811.2,466.6,772.4,427.6,2613.9,2661.7,2653.7,2436.7,2158.3,3808.1,2180.9,3413.5,2543.2,2643.3,2536.6,2614.4,1601.6,1355.7,1954.7,1612.3,732.8,1161.9,763,1133.7,981,1362.6,1199,1393,905,1490.7,895.6,1032.8,1220.9,1223.1,1179.4,1343.5,977.4,1039.7,734.2,1336.1,1281.3,1178.1,1329.7,1364.1,1064.8,1323.3,1177.8,1377.1,1060.9,1335,937,1357.3,890.9,1412
AT5G08130,1291.3,1109.9,617.7,389.8,1148.7,983.2,1041.9,1257.1,1683,819.8,754.1,1386.7,1576.1,1531.4,1508.2,977.9,1360.3,1027.2,986.7,875.9,872.5,727.8,1291.3,1109.9,1041.9,1257.1,1769.1,1006.6,848.5,1377.6,1372.5,1055.7,808.6,1144.8,1576.1,1531.4,1463,1503.4,1291.3,1109.9,984.6,795.5,980,1066.7,1291.3,1109.9,1041.9,1257.1,2002.2,990.7,1079.1,991.6,1462.9,978.5,762.2,1296.4,1415.7,836.6,687.1,1053.1,1271.3,1166.3,904.9,1181.5,185.5,221.2,449.1,283.6,272.3,243.8,153.2,222,212.9,267.9,232.2,192.7,1291.3,1109.9,1440.8,1373.6,1815.6,1091.7,896.6,786.6,1474.8,904.1,1021.2,804.6,1067.4,686.8,665.7,1055.7,1158.3,872.9,1581.3,1191.1,1583.1,1118.1,793.1,939.8,680.4,665,1093,943.6,947.3,848.1,793.1,645.1,1100.5,1035.3,3338.9,2041.4,1675,1432.7,853.7,755.5,591.7,677.9,976.4,574.4,1211.9,1008.8,911.7,701.8,1114.6,947.4,1037.3,896.8,1197.2,1001.6,746,1118.8,676.2,772.5,2048.8,1867.3,1593.2,1771.2,1251.4,2293.4,1533.3,2406.8,2064.1,1989.1,2254.9,2206.5,1721.2,1578,1817.3,1346.9,1389.4,1354.3,1154.8,1446.7,1663,1418.1,1689.4,1433.5,1129.8,1677,1138.5,1727.8,1324.7,1317.2,1191.4,1395,1133.2,1256.5,847.6,1293.6,846.9,1330.4,1113.3,1414.1,980.1,1526.2,1151.7,1876.3,1033.1,1649.7,894.5,1746.2,989.9,1483.4
AT5G09330,3339.3,3014.5,2691.1,2457.4,4769.5,2974.3,2060.4,3057.4,3917.4,2470.1,2254.3,2771.4,3315.9,2571.2,3382.6,2846.3,3500.3,1978,3218.4,2484.1,3385,3628.9,3339.3,3014.5,2060.4,3057.4,3729.4,2889.5,2515.9,3264.1,3434.3,2473.8,2144.3,3154.3,3315.9,2571.2,2881.2,3184.1,3339.3,3014.5,5018.7,3090.9,3270.6,3056.3,3339.3,3014.5,2060.4,3057.4,3637.6,2441.7,2595.8,2544.1,3246.5,2941,2037.7,2859.4,2923,2798.8,2418.7,3265.4,3001.1,2206.2,2134.1,3053.3,216,283,524.8,550.5,565.1,616.4,176.8,235.2,584,618.9,531.1,455.2,3339.3,3014.5,3971.3,2889.5,3662,2242.1,3566.5,2671.2,3239.9,2978.9,2360,1808.4,2250.3,1630.2,1873.3,1726.2,2073.9,1549.5,2450.1,1809.4,2210.1,2027.8,2400.4,1963.2,2178.9,1764.8,2090.3,1990.6,2109,1734.3,2352.5,1790,2567.1,1880.6,2156.7,1671.9,2081.2,1633.8,2285.4,1730.8,2303.4,1954.5,1918.4,1594,2210.4,1755.1,1804.8,2106.6,1855.4,1863.2,1150.2,1253.4,1765.4,1519,2443.4,1682,1879.6,1250.4,7526.3,5317.7,6862.4,5291.9,4660.1,8100.5,5252.8,7432.9,5658.3,5689.6,5821.1,5419.4,5750.5,6041.2,6366.4,5539.4,3900,4370.8,3682.9,4663.2,4957.4,6151.1,5401.1,4919.8,4506.6,5463.7,4597.3,4433.8,5460.7,4680.1,4733.8,4826.7,4715.2,4304.1,3716.9,4782.9,4850.1,4233.7,5078.9,4197.3,4555.7,4165.9,4165.9,4003.5,4527.8,4682.8,3951.5,4731.4,3926.4,4404.8
AT5G10280,850.4,771.3,331.5,359.3,850.8,541.9,507.9,663,652.1,478.5,562.1,759.4,740.8,612.3,398.3,507.6,757.1,543.8,604.5,602.7,739.1,626.6,850.4,771.3,507.9,663,681.1,536.5,622.9,741.1,765.5,430.8,600.3,1077.3,740.8,612.3,566.6,554.7,850.4,771.3,500.4,298.2,953.2,708.3,850.4,771.3,507.9,663,823,504.7,522.9,671.7,726.6,734.3,685.7,486.5,699,733.3,523.2,605.4,1019.5,916.2,690,775.9,53.7,67.1,102.5,67.6,58.4,88,30.8,55.1,96,54.9,47,44.5,850.4,771.3,788.6,557,681.3,897.7,772.2,861.9,964.2,573.3,554.7,387.6,529.5,282.9,791.3,401.7,601,321.9,970.5,504.8,654.2,511.9,758.8,469,701.7,464.8,561,328.9,539.7,364.3,643.6,502.8,539.7,340.9,846.9,528.7,970.3,448,930.5,466.6,854.4,399.8,717.4,452.8,464.9,346.8,678.6,426.4,530.3,380.7,786.8,278.7,729.4,242.7,936.3,380.4,628.7,358.2,1498.7,1239.3,1551,1068.2,996.7,1921.6,1238.6,1945.3,1342.7,1490,1407,1219,1247.6,1116,964.1,1274.9,686.4,734,831.4,720,976,1038.7,1019.9,1061.7,798.8,1122.3,1119.4,1305,1019.3,1218.6,1253.9,1073.6,1216.4,867.7,766.4,1040.5,1098.8,949.8,843.9,1096.5,835.5,1013.2,682.1,1094.8,867,1079.8,659.2,1371.3,845.1,1136.5
AT5G14000,577.9,474.9,125.6,57.1,566.7,517.6,538.5,1001.8,771.8,665.6,583.5,765.1,701,842.7,558.9,745.3,556.4,503.4,789.9,595.4,1108.5,1307.2,577.9,474.9,538.5,1001.8,737.6,636.4,451.4,653.6,803.1,727.3,618.6,667.8,701,842.7,756.8,706.7,577.9,474.9,564.7,644.1,836.9,635.8,577.9,474.9,538.5,1001.8,863.1,389.5,455,868.5,834.4,517.5,624.9,773.2,794.5,669,523.8,884.2,683.3,560.7,541.7,550,60.9,93.9,192.3,35.7,53.7,61.7,131.6,227,247.1,169.5,153.8,152.6,577.9,474.9,503.9,590.1,690.6,785.6,753,771.3,559.5,636.2,529.7,240.7,576.3,297.6,414.7,268.5,624.4,332.1,436.8,213.7,396.8,247.1,546,314.2,622.7,288.5,548,257.7,511.3,297.9,339.8,193.7,512.8,359.9,620.6,319.7,545.6,320.2,439.9,183.6,563.5,250,568,277.6,617,376.2,379,274.5,494.7,165.1,543.6,413.7,484.3,222.3,565.9,313.9,464.6,414.1,2696.3,2316.1,2968.4,1816.2,1847,3374.3,2019,2547.5,2405.3,1849.7,1856,1514.1,1866.7,1781.2,1480.6,1263.6,1077.5,1331.5,1091.2,1208.4,1386.4,1373.5,986.3,1200.4,1199.8,1422.9,1175.8,1320.9,1217.1,1341,1404.1,1644.6,1235.5,1668.7,1272.3,1187.7,1538,1378.8,1375.2,1285.9,1505.3,1420.8,1114.4,1132.6,1455,1538.2,1362.2,1147.2,1328.5,1270.5
AT5G18680,2808.3,1945.6,1024.8,1046.4,2202.9,2380.2,1694.3,2340.2,2431,1835.8,2072.8,2869.2,2356.5,2161.8,1903.2,1762.8,2306.1,2033.6,2601.3,1832.4,2261.7,1560.1,2808.3,1945.6,1694.3,2340.2,2319.9,1895,1700.3,2673.7,2776.5,2083,2110.1,2254.7,2356.5,2161.8,2168.9,2273.3,2808.3,1945.6,1991.8,1499.2,3509,2215.3,2808.3,1945.6,1694.3,2340.2,2075.7,1986.6,1904.2,2158.5,2281.4,1891.8,1882.6,2661.2,2239.3,2278.9,1660.8,2394.9,2428.3,2833.1,1670.5,2564.6,297.4,385.5,738.2,330.3,399.8,366.6,431.3,563.4,1074.7,590.8,530.9,458.4,2808.3,1945.6,1943.9,3023.6,2440.3,2233.3,2203.5,1795.4,2484.5,2214,1562.3,1380.5,1670.7,1299.3,1639.4,1339.6,1703.4,1289.8,1687.3,1458.3,2036.1,1287.9,1820.9,1734,2099.1,1356.7,1712.7,1398.8,1267.4,1196.1,1436,1027.7,1758.5,1295.2,1609.7,1278.9,1729.6,1158.6,2022.3,1302.6,2168.4,1579.4,1680,1247.6,1233.6,1117.4,1294.3,1029.2,1564.4,1272.9,1503.6,1297.9,1633.5,1242.1,2227.2,1416.6,1633.1,1336.9,3676.6,4234.8,4390.5,3952.8,3184.7,5654.5,2758.9,4531.7,3787.1,4098.4,3680.9,3627.9,3713.2,3309,4174.2,3710.3,2722.6,3027,2568.2,2385.1,3418.5,3573.7,2923,2916.3,3258.3,3037.4,3203,3135.9,4510.7,3278.2,3850.1,3320.8,3025.9,3204.2,3360.6,3138.8,3571.8,2963.7,3110.9,2852.4,2894,3012.6,3219.1,2688.3,3577.2,2591.7,3479.8,3033.3,2819.9,2974.1
AT5G22570,222.7,210.1,2126.2,2144.4,146.7,88.6,106.6,114.6,136.6,101.8,85.8,93.1,129,183.2,201,77.5,258.2,101,167.4,16.7,4394.6,4123,222.7,210.1,106.6,114.6,156.5,187.3,92.4,118.3,110.4,232.7,216.4,26.1,129,183.2,120.3,213.8,222.7,210.1,190.4,140.8,176.7,110.8,222.7,210.1,106.6,114.6,175.4,237.9,50.4,183.7,57.8,135.3,105.4,152.1,128.5,125.4,7.7,163.4,316.3,292.6,165.6,245.7,56.6,61.4,148.1,45.7,49.3,46.6,22.2,50.3,46.8,69.5,77.3,62.1,222.7,210.1,161.3,137.6,181.1,160.4,210.3,187.5,160.7,92.2,146.7,52.8,375.5,76.8,80.3,99.5,236.2,78.8,255.9,66.1,791.6,266,103.8,184.9,139.8,90.2,94.7,66.8,141.3,74.1,233,38.3,150.7,78.1,122.9,44.8,414.7,194,190.8,121.6,303.9,111.2,74.6,71.6,96,75.6,141.8,52.7,255.5,121.2,95.9,11.2,104.2,135.2,247.2,58.8,149.5,86.4,264.2,292.7,152.2,223.5,178.2,325.5,233.1,203.7,315,158.9,248.9,242.9,321.7,280.8,392.5,282.4,252.3,270,237.9,133.1,290.6,237.5,251.5,237.3,251.8,196.9,215.5,270.8,129.5,124,220.6,151.1,191.3,120.8,273.3,261,122.9,180.5,103.7,142.2,149.8,103.6,156.9,78.7,110.3,266.7,143.1,266.4,220.1,179.9
AT5G25390,203,46.9,132.1,67.6,187.3,51.9,30.5,51.6,48.1,53,59,66.6,41.6,31.3,34.3,36.8,72.3,243.4,45.4,47.3,37.5,49.2,203,46.9,30.5,51.6,148.1,26.8,22.3,82.4,75.5,36.3,32.3,50.3,41.6,31.3,161.3,38.8,203,46.9,120.1,35.7,36.3,35,203,46.9,30.5,51.6,259.4,44.1,24.1,242.1,129.7,294.7,42.2,85.6,40.2,29.2,125.4,57.2,149.6,145.9,78.4,434.4,24.8,24.4,54,6.5,38.3,20,40.3,70.6,208,9.9,11.2,6.9,203,46.9,45.6,43.8,192.7,71.9,52.1,64,141.8,47.6,47,17.4,33.4,83.2,28.3,26.5,168.6,52.5,54.2,14.7,43.9,36.3,95.5,99,75,34.4,38.5,20.3,41.2,33.4,34.4,16.2,68,34.7,49.5,42.5,46.6,26.5,56.5,39.1,32.3,46.2,145.3,62.9,38.5,39.6,120.2,63.3,175,30.7,111.2,28.1,22.2,25,345.5,30.6,66.6,24.9,75.8,53.4,362.5,85.3,65.6,134.9,53.5,59.1,255.5,89.6,80,80.4,57.2,100.3,61.6,108.6,54,43.3,39.2,45.6,104.9,72.1,212.6,104.9,65,51.5,32.3,44.4,186.7,31.9,100.7,166.7,212.1,197.3,174.4,76.8,393.7,73.8,26.2,44.7,53.6,158.5,49.5,178.3,162.5,197.5,32.9,487.6,77.8,54.3
AT5G25890,1840,1090.5,1189.8,1057.6,1240.4,796.4,1304.9,1820.6,1682.5,1060.2,1303,1006.4,1778.1,1072,1196.9,1407.6,1589.4,1232.4,1518.4,1387.9,1815.3,1082.2,1840,1090.5,1304.9,1820.6,1808.7,1348.9,1433.8,1490.9,1324.6,1466.8,1255.6,1734.2,1778.1,1072,1293.9,1686.5,1840,1090.5,1079.8,748.2,2295.3,1563.5,1840,1090.5,1304.9,1820.6,1145.5,1055.1,1349.7,1652.3,1990.9,1178.1,803.4,1345.4,2042,1577,1300.7,1731.3,1863.7,1145.9,1030.7,1605.6,155.8,219.6,375.1,263.3,300.9,257.4,369.1,527.2,735.9,313.5,247.9,232.7,1840,1090.5,1229.3,622.7,2193.1,1372.9,1535.1,937.3,1237.1,934,1116.6,756.4,1225.8,768.9,1562.7,1079.1,1432.3,842.6,1393.1,665.7,820.3,612.2,1200.1,706.4,1578.9,912.9,1323.5,640.8,1174.7,499,1685,1131.6,1125.1,810.7,808.8,800.8,1019.6,406.4,1753.9,779.8,1486.2,605,1660.8,673.4,1074.3,522,1478.3,652.5,973.2,531.9,2014.1,897.4,1564.6,403.1,1668.7,1232.3,1135.3,854,2244.8,2292,2294,2370,2360.3,3026.6,1925.4,2123.4,2410.3,2273.4,1680.2,1899.6,1549.5,2037.7,2344.5,1407.9,1589.1,1136.2,1450.4,1015.1,1253.7,1955.3,2624.3,1644.4,2255,1933.9,1966.5,2332.6,1189.6,2761.9,1540.9,2107.9,1514.8,1335.5,1753.2,2126.1,1456.7,1863.1,1554.9,2155.7,2146.9,1758.1,1857.6,2489.3,1914.8,1756.8,1507.8,2070.1,1832.8,2327.1
